User_id,Year,Month,Tweet_count,Hashtag_count,Percent_mobile,Retweet_count,Location_sharing_count,Quote_count,Percent_tweets
183398746,2019,11,7,0,1.0,376.0,0,0,0.0007451564828614009
183398746,2019,12,25,2,1.0,729.0,0,0,0.0026612731530764318
183398746,2020,1,22,1,1.0,1295.0,0,0,0.00234192037470726
183398746,2020,2,26,6,1.0,788.0,0,0,0.002767724079199489
183398746,2020,3,9,2,1.0,974.0,0,0,0.0009580583351075154
183398746,2020,4,11,4,1.0,533.0,0,0,0.00117096018735363
183398746,2020,5,19,1,1.0,847.0,0,1,0.002022567596338088
183398746,2020,6,4,0,1.0,907.0,0,0,0.0004258037044922291
184014140,2020,10,4,0,1.0,2121.0,0,2,4.5104473236133197e-05
184014140,2020,11,4,1,1.0,38.0,0,0,4.5104473236133197e-05
184860130,2020,11,196,4,1.0,216397.0,0,58,0.009519646413133227
188672866,2011,9,11,0,1.0,0.0,0,0,0.017915309446254073
188672866,2011,10,2,0,1.0,0.0,0,0,0.003257328990228013
188672866,2011,12,2,0,1.0,0.0,0,0,0.003257328990228013
188672866,2012,11,1,0,1.0,0.0,0,0,0.0016286644951140066
192945691,2020,10,4,0,1.0,96281.0,0,0,7.337295472888693e-05
192945691,2020,11,7,4,1.0,49301.0,0,0,0.00012840267077555214
195136176,2020,9,2,0,1.0,6.0,0,1,0.0001955607705094358
195136176,2020,10,2,0,1.0,6579.0,0,1,0.0001955607705094358
201179899,2010,11,1,0,0.0,0.0,0,0,0.1111111111111111
201179899,2011,10,3,0,0.3333333333333333,0.0,0,0,0.3333333333333333
201939620,2020,10,76,0,1.0,137685.0,0,7,0.0009035679043169145
201939620,2020,11,96,0,1.0,306022.0,0,13,0.0011413489317687341
201939620,2020,12,12,0,1.0,56258.0,0,1,0.00014266861647109177
202129414,2017,9,13,0,1.0,0.0,0,0,0.34210526315789475
203105551,2020,5,2,0,1.0,10.0,0,1,5.684240443370755e-05
208226403,2010,10,1,0,0.0,0.0,0,0,0.030303030303030304
208226403,2012,7,1,1,0.0,0.0,0,0,0.030303030303030304
208226403,2013,3,1,0,1.0,0.0,0,0,0.030303030303030304
208226403,2015,5,1,0,0.0,0.0,0,0,0.030303030303030304
208226403,2016,6,12,0,0.16666666666666666,7.0,0,0,0.36363636363636365
208226403,2016,7,1,0,0.0,0.0,0,0,0.030303030303030304
208226403,2016,11,1,0,1.0,0.0,0,0,0.030303030303030304
208226403,2017,4,4,0,1.0,1.0,0,0,0.12121212121212122
208226403,2017,10,1,0,1.0,0.0,0,0,0.030303030303030304
208226403,2018,3,5,0,0.0,0.0,0,0,0.15151515151515152
208226403,2018,11,1,0,1.0,0.0,0,0,0.030303030303030304
208725869,2020,11,180,2,1.0,133646.0,0,44,0.02549213992352358
215825897,2018,10,9,10,1.0,46373.0,0,1,0.0008711644564901752
215825897,2018,11,12,3,1.0,1510.0,0,0,0.001161552608653567
215825897,2018,12,12,2,1.0,190.0,0,1,0.001161552608653567
215825897,2019,1,5,0,1.0,175.0,0,0,0.0004839802536056529
215825897,2019,2,3,1,1.0,281.0,0,0,0.00029038815216339174
215825897,2019,3,12,4,1.0,133.0,0,1,0.001161552608653567
215825897,2019,4,5,2,1.0,154.0,0,0,0.0004839802536056529
215825897,2019,5,8,1,1.0,51.0,0,0,0.0007743684057690447
215825897,2019,6,12,5,1.0,153.0,0,2,0.001161552608653567
215825897,2019,7,3,0,1.0,666.0,0,2,0.00029038815216339174
215825897,2019,8,4,2,1.0,19.0,0,0,0.00038718420288452233
215825897,2019,9,4,1,1.0,3190.0,0,0,0.00038718420288452233
215825897,2019,10,13,6,1.0,2443.0,0,1,0.0012583486593746975
215825897,2019,11,13,3,1.0,908.0,0,1,0.0012583486593746975
215825897,2019,12,10,4,1.0,411.0,0,2,0.0009679605072113057
215825897,2020,1,5,1,1.0,16791.0,0,1,0.0004839802536056529
215825897,2020,2,5,3,1.0,27.0,0,0,0.0004839802536056529
215825897,2020,3,6,3,1.0,81.0,0,0,0.0005807763043267835
215825897,2020,4,2,3,1.0,13.0,0,0,0.00019359210144226117
215825897,2020,5,2,0,1.0,6.0,0,1,0.00019359210144226117
215825897,2020,6,3,2,1.0,20.0,0,0,0.00029038815216339174
215825897,2020,7,2,0,1.0,12.0,0,1,0.00019359210144226117
215825897,2020,8,2,0,1.0,4.0,0,1,0.00019359210144226117
215825897,2020,9,2,0,1.0,9.0,0,0,0.00019359210144226117
215825897,2020,10,12,13,1.0,120.0,0,0,0.001161552608653567
215825897,2020,11,2,3,1.0,7.0,0,0,0.00019359210144226117
218162682,2020,6,3,4,1.0,4263.0,0,0,0.0004472938720739526
218300535,2020,4,1,0,1.0,8.0,0,0,0.00011602274045712959
218300535,2020,5,1,0,1.0,2.0,0,0,0.00011602274045712959
218300535,2020,6,2,4,1.0,7.0,0,0,0.00023204548091425919
222840403,2019,5,13,4,1.0,102031.0,0,1,0.0032410870107205184
222840403,2019,6,20,9,1.0,36859.0,0,1,0.004986287708800797
222840403,2019,7,8,0,1.0,2113.0,0,1,0.0019945150835203192
222840403,2019,8,4,0,1.0,13933.0,0,0,0.0009972575417601596
222840403,2019,9,8,1,1.0,14689.0,0,0,0.0019945150835203192
222840403,2019,10,9,2,1.0,1140.0,0,0,0.002243829468960359
222840403,2019,11,6,0,1.0,133.0,0,0,0.0014958863126402393
222840403,2019,12,7,2,1.0,55123.0,0,0,0.0017452006980802793
222840403,2020,1,8,0,1.0,71666.0,0,2,0.0019945150835203192
222840403,2020,2,9,3,1.0,14395.0,0,1,0.002243829468960359
222840403,2020,3,5,0,1.0,10310.0,0,2,0.0012465719272001994
222840403,2020,4,4,1,1.0,5607.0,0,0,0.0009972575417601596
222840403,2020,5,3,1,1.0,779.0,0,0,0.0007479431563201197
222840403,2020,6,4,0,1.0,8237.0,0,1,0.0009972575417601596
222840403,2020,7,7,3,1.0,8421.0,0,3,0.0017452006980802793
222840403,2020,8,9,2,1.0,13711.0,0,3,0.002243829468960359
222840403,2020,9,5,2,1.0,9477.0,0,1,0.0012465719272001994
222840403,2020,10,12,0,1.0,42628.0,0,2,0.0029917726252804786
222840403,2020,11,9,2,1.0,229.0,0,4,0.002243829468960359
222840403,2020,12,1,0,1.0,0.0,0,1,0.0002493143854400399
224661284,2020,12,1,0,1.0,0.0,0,1,7.376263185070444e-05
224810036,2020,1,26,11,1.0,6781.0,0,2,0.002933874971789664
224810036,2020,2,26,1,1.0,9816.0,0,13,0.002933874971789664
224810036,2020,3,78,12,1.0,6241.0,0,25,0.008801624915368992
224810036,2020,4,25,5,1.0,15417.0,0,5,0.0028210336267208303
224810036,2020,5,7,1,1.0,81.0,0,1,0.0007898894154818325
224810036,2020,6,3,1,1.0,3244.0,0,0,0.00033852403520649965
225921757,2020,10,78,14,1.0,17460.0,0,8,0.01049939426571544
225921757,2020,11,59,18,1.0,31621.0,0,8,0.007941849508682191
225921757,2020,12,52,14,1.0,16164.0,0,17,0.0069995961771436264
227182239,2011,8,59,9,1.0,56.0,0,0,0.04085872576177285
227182239,2011,9,19,4,0.5789473684210527,3840.0,0,0,0.013157894736842105
227182239,2011,11,2,0,1.0,0.0,0,0,0.0013850415512465374
227182239,2011,12,5,0,0.0,2.0,0,0,0.0034626038781163434
227182239,2012,1,5,2,0.0,1.0,0,0,0.0034626038781163434
227182239,2012,2,10,2,0.0,7076.0,0,0,0.006925207756232687
227182239,2012,3,9,2,0.0,0.0,0,0,0.006232686980609419
227182239,2012,4,2,0,0.0,0.0,0,0,0.0013850415512465374
227182239,2012,6,71,6,1.0,51.0,12,0,0.04916897506925208
227182239,2012,7,1,0,0.0,0.0,0,0,0.0006925207756232687
227182239,2012,8,2,0,0.0,0.0,0,0,0.0013850415512465374
228736362,2013,5,1,0,1.0,0.0,0,0,0.008130081300813009
228736362,2015,9,1,0,1.0,0.0,0,0,0.008130081300813009
230175706,2020,11,1,0,1.0,0.0,0,0,7.536646945773825e-06
231577324,2020,6,8,0,1.0,4.0,0,0,0.00013245691011142937
234660385,2011,1,1,0,0.0,0.0,0,0,0.5
235607006,2011,1,3,6,0.3333333333333333,0.0,0,0,0.03529411764705882
236857407,2019,2,2,4,1.0,3.0,1,0,6.269199423233653e-05
236857407,2019,3,5,5,1.0,13.0,3,0,0.00015672998558084131
236857407,2019,4,3,2,1.0,12.0,2,0,9.40379913485048e-05
236857407,2019,5,2,4,1.0,10.0,0,0,6.269199423233653e-05
236857407,2019,9,4,13,1.0,11.0,0,0,0.00012538398846467306
236857407,2019,10,2,0,1.0,2.0,0,0,6.269199423233653e-05
236857407,2019,12,1,1,1.0,1.0,0,0,3.1345997116168264e-05
236857407,2020,1,3,8,1.0,1760.0,0,0,9.40379913485048e-05
236857407,2020,2,2,8,1.0,2.0,0,0,6.269199423233653e-05
236857407,2020,3,2,0,1.0,2.0,0,0,6.269199423233653e-05
237348797,2018,10,3,0,0.3333333333333333,1194.0,0,1,0.0014866204162537165
237348797,2018,11,4,0,0.25,1144.0,0,1,0.0019821605550049554
237348797,2018,12,5,0,0.6,12989.0,0,2,0.002477700693756194
237348797,2019,1,5,0,0.2,10463.0,0,0,0.002477700693756194
237348797,2019,4,2,0,1.0,673.0,0,0,0.0009910802775024777
237348797,2019,5,4,1,1.0,860.0,0,1,0.0019821605550049554
237348797,2019,6,7,0,0.7142857142857143,2434.0,0,1,0.003468780971258672
237348797,2019,7,4,0,1.0,2923.0,0,1,0.0019821605550049554
237348797,2019,9,1,0,1.0,483.0,0,0,0.0004955401387512388
237348797,2019,10,7,0,1.0,5830.0,0,0,0.003468780971258672
237348797,2019,11,1,0,1.0,1812.0,0,0,0.0004955401387512388
237348797,2019,12,1,0,1.0,112.0,0,1,0.0004955401387512388
237348797,2020,1,17,0,1.0,5278.0,0,0,0.00842418235877106
237348797,2020,2,1,0,1.0,476.0,0,1,0.0004955401387512388
237348797,2020,3,7,1,1.0,8726.0,0,2,0.003468780971258672
237348797,2020,4,4,0,1.0,2462.0,0,1,0.0019821605550049554
237348797,2020,5,33,19,1.0,9312.0,0,1,0.01635282457879088
